placeholder;0
интер;4
кое;5
кон;2
наде;3
надо;10
отъ;16
че;1
вз;356
во;129
чи;3
а;3
рос;3
и;1
вос;182
разъ;27
под;1870
не;225
пре;294
на;3354
про;2504
воз;227
ни;28
роз;1
разо;31
вс;244
памят;1
въ;7
вы;2261
надъ;2
ку;3
анти;1
низо;1
черес;2
рас;1025
транс;3
им;5
возо;2
низ;2
из;718
взо;12
над;167
ад;1
ак;5
ап;2
наи;3
ан;3
з;11
у;2348
ат;4
ас;6
раз;897
взъ;16
ис;637
недо;19
нис;14
супон;4
ра;4
ре;28
оп;1
об;1817
дез;5
ыз;9
в;1254
экстра;1
к;7
о;2817
полу;5
экс;8
после;1
ыс;1
пред;187
пере;2757
от;2419
контр;1
без;155
пара;1
ин;3
предъ;5
до;1177
объ;34
обы;1
де;11
пост;1
подъ;7
н;21
со;522
с;10
по;3885
су;34
пода;2
при;2148
съ;17
э;2
подо;65
па;8
изо;19
изъ;20
за;3723
оби;2
обо;90
ко;32
архи;1
бес;127
ото;59
