еньк;11
шеств;1
ть;251
ачь;2
оньк;8
ян;40
ённ;82
еш;5
яй;10
туш;5
еч;25
ец;3
ес;16
ер;73
ет;7
тел;22
че;1
ва;645
вл;5
д;17
ну;2114
и;11329
ешн;1
м;18
р;54
ышк;1
либо;1
ашн;9
тельн;5
тяй;1
нн;120
ш;66
нича;8
но;1
при;1
ь;286
ственн;1
ву;1
егда;3
оз;1
вш;6
ист;2
авл;5
ен;181
ем;14
ель;1
ей;5
ящ;6
ел;27
яш;9
яч;30
ях;4
ек;7
еб;1
ят;22
яс;1
ев;363
ее;5
овск;1
ивл;2
его;1
то;2
евл;2
ти;1
ива;3520
як;4
еж;1
жды;6
ейн;1
аль;2
ик;21
ий;1
им;5
ин;43
ив;2613
фиц;1
яр;7
из;132
льн;1
ав;58
ост;22
ад;2
ить;3
ак;4
ка;70
лив;10
ай;3
тель;20
ан;15
г;4
ева;16
ифиц;22
ать;1
л;1340
ича;41
ль;2
у;239
уда;1
ч;213
ёшеньк;4
ы;5
ку;1
ять;1
хр;4
я;2645
ат;83
ому;13
ас;3
ац;1
ач;59
ах;11
тай;1
ащ;4
иш;1
онеч;1
ию;2
шн;1
нич;57
ир;899
иц;4
ар;25
ше;1
аст;5
ючи;1
еств;77
ой;5
ок;12
ол;1
ом;158
он;22
езн;4
об;13
ов;2987
оль;1
ое;1
ож;1
ам;3
ыг;1
ыв;1379
ству;1
ые;3
ыл;1
нибудь;1
бы;1
зн;3
ым;3
овл;1
ющ;17
cя;2
без;1
юю;1
нов;2
ова;56
ове;1
юч;1
ул;2
уй;2
в;573
ун;4
ж;16
енеч;1
к;388
уз;3
уж;2
оват;5
о;483
юда;1
ущ;10
т;254
ую;43
ц;26
ьj;1
ур;11
уч;9
ю;27
ествл;1
ость;2
енств;11
юн;6
огда;1
овин;2
юж;2
юз;1
ца;2
ыт;2
ыр;1
яж;5
ез;1
ых;18
ыш;3
ствл;1
ош;14
ощ;10
лен;1
ою;2
от;88
ами;4
шеньки;1
на;1
оч;45
ёв;48
ма;3
ёж;2
мо;1
няч;1
ёк;2
чиш;2
ём;7
ич;307
уш;2
енн;215
ёхоньк;4
ест;1
изов;13
ёс;1
ему;18
няж;2
б;1
ств;276
е;1705
вов;8
й;31
ск;32
н;819
хар;1
с;12
по;2
оноч;1
х;9
щ;10
ыва;1833
сь;163
ся;14177
ыч;1
юду;3
яв;45
ител;1
юшк;1
еск;9
e;1
ечк;2
юк;6
атай;3
бес;2
ячь;2
ёт;1
﻿﻿а;16590
ал;37
мя;12
