адресовать;адрес.R+ов.S+а.S+ть.F
адресоваться;адрес.R+ов.S+а.S+ть.F+ся.S
адсорбировать;ад.P+сорб.R+ир.S+ов.S+а.S+ть.F
айкать;ай.R+ка.S+ть.F
айкнуть;ай.R+к.S+ну.S+ть.F
акать;а.R+ка.S+ть.F
акклиматизировать;ак.P+климат.R+из.S+ир.S+ов.S+а.S+ть.F
акклиматизироваться;ак.P+климат.R+из.S+ир.S+ов.S+а.S+ть.F+ся.S
аккомодировать;ак.P+комод.R+ир.S+ов.S+а.S+ть.F
аккомодироваться;ак.P+комод.R+ир.S+ов.S+а.S+ть.F+ся.S
алеть;ал.R+е.S+ть.F
алеться;ал.R+е.S+ть.F+ся.S
алкать;алк.R+а.S+ть.F
алтынничать;алтын.R+н.S+ич.S+а.S+ть.F
алчущий;алч.R+ущ.S+ий.F
аннигилировать;ан.P+нигил.R+ир.S+ов.S+а.S+ть.F
аннотировать;ан.P+нот.R+ир.S+ов.S+а.S+ть.F
аннулировать;ан.P+нул.R+ир.S+ов.S+а.S+ть.F
антиципировать;анти.P+цип.R+ир.S+ов.S+а.S+ть.F
апперципировать;ап.P+перцип.R+ир.S+ов.S+а.S+ть.F
аппретировать;ап.P+прет.R+ир.S+ов.S+а.S+ть.F
арестовать;арест.R+ов.S+а.S+ть.F
арестовывать;арест.R+ов.S+ыва.S+ть.F
арестовываться;арест.R+ов.S+ыва.S+ть.F+ся.S
арканить;аркан.R+и.S+ть.F
артачиться;а.P+рт.R+ач.S+и.S+ть.F+ся.S
архипастырствовать;архи.P+пастыр.R+ств.S+ов.S+а.S+ть.F
аршинничать;аршин.R+н.S+ич.S+а.S+ть.F
ассигновать;ас.P+сигн.R+ов.S+а.S+ть.F
ассигновывать;ас.P+сигн.R+ов.S+ыв.S+а.S+ть.F
ассимилировать;ас.P+симил.R+ир.S+ов.S+а.S+ть.F
ассимилироваться;ас.P+симил.R+ир.S+ов.S+а.S+ть.F+ся.S
ассоциировать;ас.P+соци.R+ир.S+ов.S+а.S+ть.F
ассоциироваться;ас.P+соци.R+ир.S+ов.S+а.S+ть.F+ся.S
атаковать;атак.R+ов.S+а.S+ть.F
атаковаться;атак.R+ов.S+а.S+ть.F+ся.S
атаманить;атаман.R+и.S+ть.F
атаманствовать;атаман.R+ств.S+ов.S+а.S+ть.F
атрофировать;а.P+троф.R+ир.S+ов.S+а.S+ть.F
атрофироваться;а.P+троф.R+ир.S+ов.S+а.S+ть.F+ся.S
аттестовать;ат.P+тест.R+ов.S+а.S+ть.F
аттестоваться;ат.P+тест.R+ов.S+а.S+ть.F+ся.S
атукать;ату.R+ка.S+ть.F
атукнуть;ату.R+к.S+ну.S+ть.F
аукать;ау.R+ка.S+ть.F
аукаться;ау.R+ка.S+ть.F+ся.S
аукнуть;ау.R+к.S+ну.S+ть.F
аукнуться;ау.R+к.S+ну.S+ть.F+ся.S
ахать;ах.R+а.S+ть.F
ахнуть;ах.R+ну.S+ть.F
бабиться;баб.R+и.S+ть.F+ся.S
бабничать;баб.R+нич.S+а.S+ть.F
багреть;багр.R+е.S+ть.F
багроветь;багр.R+ов.S+е.S+ть.F
багрянеть;багр.R+ян.S+е.S+ть.F
багрянить;багр.R+ян.S+и.S+ть.F
багряниться;багр.R+ян.S+и.S+ть.F+ся.S
базарить;базар.R+и.S+ть.F
баклушничать;баклуш.R+н.S+ич.S+а.S+ть.F
балаболить;балабол.R+и.S+ть.F
балаганить;балаган.R+и.S+ть.F
балаганничать;балаган.R+н.S+ича.S+ть.F
балагурить;балагур.R+и.S+ть.F
балакать;балак.R+а.S+ть.F
баламутить;баламут.R+и.S+ть.F
баламутиться;баламут.R+и.S+ть.F+ся.S
балбесничать;балбес.R+нича.S+ть.F
баливать;бал.R+ива.S+ть.F
баловать;бал.R+ов.S+а.S+ть.F
баловаться;бал.R+ов.S+а.S+ть.F+ся.S
балясничать;баляс.R+нич.S+а.S+ть.F
банить;бан.R+и.S+ть.F
барабанить;барабан.R+и.S+ть.F
барахлить;барахл.R+и.S+ть.F
барахтаться;барахт.R+а.S+ть.F+ся.S
барствовать;бар.R+ств.S+ов.S+а.S+ть.F
барышничать;барыш.R+нич.S+а.S+ть.F
басить;бас.R+и.S+ть.F
бастовать;баст.R+ов.S+а.S+ть.F
батрачить;батрач.R+и.S+ть.F
